paper_id,num_figures
2604.08634v1,9
2604.08781v1,7
2604.08868v1,10
2604.09096v1,6
2604.09227v1,21
2604.09233v1,7
2604.09280v1,8
2604.09313v1,7
2604.09321v1,14
2604.09370v1,5
2604.09421v1,16
2604.09450v2,8
2604.09451v1,9
2604.09468v1,7
2604.09657v1,6
2604.09702v1,2
2604.09715v1,5
2604.09743v1,1
2604.09884v1,3
2604.09886v1,8
2604.10037v1,5
2604.10223v1,11
2604.10331v1,23
2604.10476v1,2
2604.10609v1,6
2604.10617v1,2
2604.10700v1,13
2604.10737v1,12
2604.10754v1,10
2604.10870v1,3
2604.11483v1,6
2604.11824v2,7
2604.11852v2,9
2604.11944v1,2
2604.12026v1,5
2604.12075v1,1
2604.12239v2,12
2604.12294v1,4
2604.12305v1,7
2604.12671v2,4
2604.12934v1,9
2604.12970v1,6
2604.13004v2,10
2604.13175v1,5
2604.13236v1,2
2604.13278v1,7
2604.13479v1,4
2604.13980v1,20
2604.14013v1,7
2604.14193v1,4
2604.14229v2,7
2604.14241v2,16
2604.14259v1,8
2604.14334v2,4
2604.14527v1,6
2604.14724v1,13
2604.14800v1,8
2604.15374v1,12
2604.15378v1,10
2604.15391v1,9
2604.15459v1,9
2604.15481v1,7
2604.15520v1,1
2604.15561v1,6
2604.15598v2,7
2604.15964v1,5
2604.16104v1,5
2604.16450v1,7
2604.16586v1,6
2604.16642v2,16
2604.16648v1,7
2604.16655v1,3
2604.16662v1,7
2604.16696v1,7
2604.16851v1,67
2604.16896v1,12
2604.16914v2,2
2604.16947v1,4
2604.16969v1,18
2604.17047v1,9
2604.17118v1,5
2604.17300v1,6
2604.17361v1,4
2604.17376v1,2
2604.17442v1,4
2604.17453v1,10
2604.17525v1,2
2604.17567v1,7
2604.17802v1,10
2604.18230v1,12
2604.18431v2,6
2604.18548v1,7
2604.18603v1,8
2604.18622v1,2
2604.18634v1,4
2604.18721v1,3
2604.18807v1,6
2604.19007v1,12
2604.19176v1,9
2604.19334v1,3
2604.19460v1,3
2604.19474v1,8
2604.19512v2,4
2604.19563v1,6
2604.19718v1,18
2604.19840v1,4
2604.19850v1,12
2604.20003v1,4
2604.20154v1,3
2604.20245v1,6
2604.20263v1,5
2604.20466v1,10
2604.20615v2,15
2604.20684v2,9
2604.20782v1,1
2604.20824v1,3
2604.20878v1,3
2604.20918v1,1
2604.20942v1,6
2604.20981v1,10
2604.21260v1,8
2604.21518v1,6
2604.21573v1,5
2604.21636v1,11
2604.21809v2,5
2604.21828v1,6
2604.21960v2,8
2604.21988v1,4
2604.22093v1,4
2604.22212v1,13
2604.22338v1,4
2604.22479v1,5
2604.22492v1,2
2604.22557v1,4
2604.22579v1,4
2604.22744v1,6
2604.22788v1,13
2604.22808v1,13
2604.22841v1,9
2604.22842v1,15
2604.22889v2,11
2604.22894v1,15
2604.22904v2,7
2604.22905v1,4
2604.22997v1,7
2604.23137v1,5
2604.23146v2,10
2604.23268v1,8
2604.23325v1,6
2604.23408v1,17
2604.23675v1,2
2604.23709v1,12
2604.24000v1,5
2604.24036v2,2
2604.24136v2,9
2604.24236v1,9
2604.24347v1,4
2604.24365v2,4
2604.24714v1,19
2604.24793v1,3
2604.24800v1,6
2604.24805v2,10
2604.24877v1,12
2604.25180v2,12
2604.25300v1,9
2604.25310v1,7
2604.25330v1,11
2604.25371v1,9
2604.25680v1,1
2604.25685v1,2
2604.25936v1,8
2604.26070v2,4
2604.26223v4,39
2604.26302v1,2
2604.26492v1,4
2604.26498v2,11
2604.26664v1,11
2604.26857v1,3
2604.26970v1,2
2604.27017v1,4
2604.27101v1,2
